qd2_maple_red_orange
Integration time [ms]:  500,00
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1412150E1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 429,51; 4047,000; 2177,000;    0,000
 429,79; 4824,000; 2359,000;    0,000
 430,08; 5562,000; 2793,000;    0,000
 430,37; 6041,000; 3226,000;    0,000
 430,65; 6106,000; 3038,000;    0,000
 430,94; 6769,000; 3643,000;    0,000
 431,23; 6772,000; 3501,000;    0,000
 431,51; 7004,000; 3635,000;    0,000
 431,80; 7329,000; 3812,000;    0,000
 432,09; 7420,000; 3784,000;    0,000
 432,37; 7335,000; 4191,000;    0,000
 432,66; 7571,000; 4093,000;    0,000
 432,95; 7766,000; 3871,000;    0,000
 433,23; 7900,000; 4511,000;    0,000
 433,52; 7750,000; 4259,000;    0,000
 433,81; 7533,000; 4230,000;    0,000
 434,09; 7852,000; 4322,000;    0,000
 434,38; 7408,000; 4106,000;    0,000
 434,66; 8012,000; 4497,000;    0,000
 434,95; 7916,000; 4346,000;    0,000
 435,24; 7721,000; 4354,000;    0,000
 435,52; 7639,000; 4004,000;    0,000
 435,81; 7328,000; 3892,000;    0,000
 436,10; 7845,000; 4531,000;    0,000
 436,38; 7698,000; 4278,000;    0,000
 436,67; 8056,000; 4196,000;    0,000
 436,95; 7834,000; 4319,000;    0,000
 437,24; 7721,000; 4133,000;    0,000
 437,53; 7425,000; 3687,000;    0,000
 437,81; 8044,000; 4544,000;    0,000
 438,10; 7792,000; 4729,000;    0,000
 438,39; 7830,000; 3826,000;    0,000
 438,67; 7711,000; 3878,000;    0,000
 438,96; 8056,000; 4744,000;    0,000
 439,24; 7846,000; 4235,000;    0,000
 439,53; 8105,000; 4443,000;    0,000
 439,82; 7193,000; 3668,000;    0,000
 440,10; 7261,000; 4050,000;    0,000
 440,39; 7040,000; 3995,000;    0,000
 440,67; 6836,000; 3706,000;    0,000
 440,96; 6545,000; 3703,000;    0,000
 441,25; 6514,000; 3713,000;    0,000
 441,53; 6265,000; 3424,000;    0,000
 441,82; 4889,000; 2410,000;    0,000
 442,10; 4332,000; 2274,000;    0,000
 442,39; 2826,000; 1444,000;    0,000
 442,67; 4265,000; 4458,000;    0,000
 442,96; 1310,000; 1101,000;    0,000
 443,25; 1095,000;  738,000;    0,000
 443,53; 1841,000; 1578,000;    0,000
 443,82; 1261,000;  791,000;    0,000
 444,10; 1504,000; 1148,000;    0,000
 444,39; 1165,000; 1098,000;    0,000
 444,67; 1589,000; 1066,000;    0,000
 444,96;  963,000;  674,000;    0,000
 445,24; 1198,000; 1002,000;    0,000
 445,53; 1144,000;  837,000;    0,000
 445,82; 1676,000; 1072,000;    0,000
 446,10; 1109,000;  884,000;    0,000
 446,39; 1137,000;  670,000;    0,000
 446,67; 1445,000;  810,000;    0,000
 446,96; 1167,000;  727,000;    0,000
 447,24; 1120,000;  677,000;    0,000
 447,53; 1240,000;  749,000;    0,000
 447,81;  989,000;  766,000;    0,000
 448,10; 1266,000;  990,000;    0,000
 448,38; 1106,000;  573,000;    0,000
 448,67; 1497,000; 1209,000;    0,000
 448,95; 1260,000; 1076,000;    0,000
 449,24; 1484,000; 1090,000;    0,000
 449,53; 1265,000;  990,000;    0,000
 449,81;  902,000;  561,000;    0,000
