qd3_hops_yellow_2
Integration time [ms]:  500,00
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1412150E1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 381,59;63544,000;11084,000;    0,000
 381,88;63644,000;10752,000;    0,000
 382,17;63544,000;10656,000;    0,000
 382,46;63644,000;11054,000;    0,000
 382,75;63544,000;10779,000;    0,000
 383,04;63644,000;10369,000;    0,000
 383,33;63544,000;10529,000;    0,000
 383,62;63644,000;10143,000;    0,000
 383,91;63544,000; 9842,000;    0,000
 384,20;63644,000;10664,000;    0,000
 384,49;63544,000;10016,000;    0,000
 384,78;63644,000; 9537,000;    0,000
 385,07;63544,000; 9869,000;    0,000
 385,36;63644,000; 9800,000;    0,000
 385,65;63544,000; 9627,000;    0,000
 385,94;63644,000; 9539,000;    0,000
 386,23;63544,000; 9454,000;    0,000
 386,52;63644,000; 8805,000;    0,000
 386,81;63544,000; 9847,000;    0,000
 387,10;63644,000; 9246,000;    0,000
 387,39;63544,000; 8569,000;    0,000
 387,68;63644,000; 8956,000;    0,000
 387,97;63544,000; 9054,000;    0,000
 388,26;63644,000; 8392,000;    0,000
 388,55;63544,000; 8528,000;    0,000
 388,84;63644,000; 8787,000;    0,000
 389,13;63544,000; 8379,000;    0,000
 389,42;63644,000; 8860,000;    0,000
 389,71;63544,000; 8775,000;    0,000
 390,00;63644,000; 8527,000;    0,000
 390,29;63544,000; 8773,000;    0,000
 390,58;63644,000; 8302,000;    0,000
 390,87;63544,000; 8653,000;    0,000
 391,16;63644,000; 8430,000;    0,000
 391,45;63544,000; 8257,000;    0,000
 391,74;63644,000; 8053,000;    0,000
 392,03;63544,000; 8568,000;    0,000
 392,32;63644,000; 7993,000;    0,000
 392,61;63544,000; 7782,000;    0,000
 392,90;63644,000; 7701,000;    0,000
 393,19;63544,000; 7850,000;    0,000
 393,48;63644,000; 7493,000;    0,000
 393,77;63544,000; 7194,000;    0,000
 394,06;63644,000; 7300,000;    0,000
 394,35;63544,000; 7192,000;    0,000
 394,64;63644,000; 7166,000;    0,000
 394,93;63544,000; 6812,000;    0,000
 395,22;63644,000; 7084,000;    0,000
 395,51;63544,000; 7275,000;    0,000
 395,80;63644,000; 6721,000;    0,000
 396,09;63544,000; 6734,000;    0,000
 396,38;63644,000; 6827,000;    0,000
 396,67;63544,000; 6625,000;    0,000
 396,95;63644,000; 7214,000;    0,000
 397,24;63544,000; 7052,000;    0,000
 397,53;63644,000; 8068,000;    0,000
 397,82;63544,000; 8647,000;    0,000
 398,11;63644,000; 9783,000;    0,000
 398,40;63544,000;10706,000;    0,000
 398,69;63644,000;11843,000;    0,000
 398,98;63544,000;12285,000;    0,000
 399,27;63644,000;12832,000;    0,000
 399,56;63544,000;12997,000;    0,000
 399,85;63644,000;13598,000;    0,000
 400,14;63544,000;14305,000;    0,000
 400,42;63644,000;14131,000;    0,000
 400,71;63544,000;13799,000;    0,000
 401,00;63644,000;14597,000;    0,000
 401,29;63544,000;14540,000;    0,000
 401,58;63644,000;14557,000;    0,000
 401,87;63544,000;15101,000;    0,000
 402,16;63644,000;14872,000;    0,000
 402,45;63544,000;14890,000;    0,000
 402,74;63644,000;15279,000;    0,000
 403,03;63544,000;14890,000;    0,000
 403,31;63644,000;15193,000;    0,000
 403,60;63544,000;14965,000;    0,000
 403,89;63644,000;14546,000;    0,000
 404,18;63544,000;14709,000;    0,000
 404,47;63644,000;14314,000;    0,000
 404,76;63544,000;14718,000;    0,000
 405,05;63644,000;14495,000;    0,000
 405,34;63544,000;13520,000;    0,000
 405,62;63644,000;14395,000;    0,000
 405,91;63544,000;14404,000;    0,000
 406,20;63644,000;14296,000;    0,000
 406,49;63544,000;14141,000;    0,000
 406,78;63644,000;13849,000;    0,000
 407,07;63544,000;13801,000;    0,000
 407,36;63644,000;13823,000;    0,000
 407,64;63544,000;13621,000;    0,000
 407,93;63644,000;13981,000;    0,000
 408,22;63544,000;13202,000;    0,000
 408,51;63644,000;13321,000;    0,000
 408,80;63544,000;12237,000;    0,000
 409,09;63644,000;12421,000;    0,000
 409,38;63544,000;11910,000;    0,000
 409,66;63644,000;12082,000;    0,000
 409,95;63544,000;11496,000;    0,000
 410,24;63644,000; 9873,000;    0,000
 410,53;63544,000; 8962,000;    0,000
 410,82;63644,000; 7956,000;    0,000
 411,11;63544,000; 7008,000;    0,000
 411,39;63644,000; 6189,000;    0,000
 411,68;63544,000; 4926,000;    0,000
 411,97;63644,000; 3552,000;    0,000
 412,26;63544,000; 3121,000;    0,000
 412,55;42667,000; 3057,000;    0,000
 412,83;35956,000; 3416,000;    0,000
 413,12;33419,000; 2552,000;    0,000
 413,41;31438,000; 2621,000;    0,000
 413,70;29858,000; 3321,000;    0,000
 413,99;26454,000; 2190,000;    0,000
 414,27;24368,000; 2051,000;    0,000
 414,56;22888,000; 2295,000;    0,000
 414,85;23127,000; 2483,000;    0,000
 415,14;21607,000; 2062,000;    0,000
 415,43;20949,000; 1646,000;    0,000
 415,71;19634,000; 1325,000;    0,000
 416,00;19120,000; 1612,000;    0,000
 416,29;18436,000; 1599,000;    0,000
 416,58;18192,000; 1686,000;    0,000
 416,87;17677,000; 1708,000;    0,000
 417,15;16377,000; 1217,000;    0,000
 417,44;16634,000; 1707,000;    0,000
 417,73;16268,000; 1774,000;    0,000
 418,02;15864,000; 1850,000;    0,000
 418,30;14469,000; 1393,000;    0,000
 418,59;14535,000; 1702,000;    0,000
 418,88;14225,000; 1614,000;    0,000
 419,17;13272,000; 1292,000;    0,000
 419,45;12924,000; 1342,000;    0,000
 419,74;12781,000; 1466,000;    0,000
 420,03;11798,000;  888,000;    0,000
 420,32;11989,000; 1298,000;    0,000
 420,60;11262,000; 1633,000;    0,000
 420,89;11414,000; 1336,000;    0,000
 421,18;11057,000; 1224,000;    0,000
 421,47;10247,000;  915,000;    0,000
 421,75; 9929,000;  798,000;    0,000
 422,04; 9725,000;  988,000;    0,000
 422,33; 9367,000;  919,000;    0,000
 422,62; 9673,000; 1261,000;    0,000
 422,90; 9062,000;  868,000;    0,000
 423,19; 8821,000;  868,000;    0,000
 423,48; 8489,000;  953,000;    0,000
 423,77; 8470,000;  989,000;    0,000
 424,05; 7901,000;  771,000;    0,000
 424,34; 8097,000;  777,000;    0,000
 424,63; 7923,000; 1289,000;    0,000
 424,91; 7871,000; 1252,000;    0,000
 425,20; 7601,000;  825,000;    0,000
 425,49; 6977,000; 1191,000;    0,000
 425,78; 7167,000; 1265,000;    0,000
 426,06; 6896,000;  972,000;    0,000
 426,35; 8018,000; 1885,000;    0,000
 426,64; 6789,000; 1272,000;    0,000
 426,92; 6767,000; 1358,000;    0,000
 427,21; 5932,000;  772,000;    0,000
 427,50; 6160,000;  471,000;    0,000
 427,78; 5769,000;  580,000;    0,000
 428,07;16643,000;10971,000;    0,000
 428,36; 5916,000;  696,000;    0,000
 428,65;10048,000; 1755,000;    0,000
 428,93;16308,000; 1399,000;    0,000
 429,22;26431,000; 2217,000;    0,000
 429,51;32970,000; 2177,000;    0,000
 429,79;37400,000; 2359,000;    0,000
